Models,Layer1,Layer2,Layer3,Layer4,Layer5
CPU_matmul_16,164900479,137900678,68711770,68689002,64396161
CPU_matmul_32,323494566,517070027,258365370,259386456,257863802
CPU_matmul_48,482875274,1146979619,575370435,583403751,616534128
CPU_matmul_56,562273808,1567526748,783257009,800424022,876306272
CPU_matmul_64,645784128,2069452888,1038648734,1114837155,1608184507
CPU_matmul_72,878574065,2650732994,1319073048,1347176324,1667912195
CPU_matmul_80,809565790,3338929947,1666086526,1833513385,2206073255
CPU_matmul_88,888898523,4171325713,2082306056,2060002548,2863764826
CPU_matmul_96,967940717,4944955599,2460960353,2431389423,3541997251
CPU_matmul_128,968180300,4970786684,2474842805,2468397850,3573989856
Gemmini_matmul_16,8481904,6899183,3547397,2550204,2114825
Gemmini_matmul_32,13032306,13633429,6946925,5110705,4378217
Gemmini_matmul_48,17817396,20310737,10582771,7890876,7208017
Gemmini_matmul_56,20134315,24277332,12582988,9365340,8685210
Gemmini_matmul_64,22426395,27913222,14622258,10916727,10465282
Gemmini_matmul_72,24506315,31465483,16333125,12593247,11683669
Gemmini_matmul_80,26686036,35419518,18295990,14187498,14926836
Gemmini_matmul_88,29043008,40793818,20430719,15982969,15389226
Gemmini_matmul_96,31572722,43471454,23445658,17740584,17507190
Gemmini_matmul_128,31588324,43142632,22498661,18451482,17677559
gemmini_conv_16,9086670,6090452,3625634,4646071,5322440
gemmini_conv_32,17011699,17070283,10395070,13956745,17753887
gemmini_conv_48,24296889,29009976,17635472,25228807,33265899
gemmini_conv_56,27753881,37493615,22746618,32989764,45663550
gemmini_conv_64,31811503,47019943,28950409,42204614,57921851
gemmini_conv_72,35435233,58347082,35045980,52356934,72214895
gemmini_conv_80,38613508,69337077,42986061,63466853,88619385






